code,name
CSW,China Swap Centres
COO,Oslo SE - Chi-X
NIK,Nihon Keizai Shinbun (Nikkei)
OGE,Osaka Grain Exchange
OSU,Osaka Sugar Exchange
DPG,Deute Public de la Generalitat de Cataluna (Spain)
ISE,Irish Stock Exchange
CAS,Casablanca Stock Exchange
BSM,Botswana Share Market
NSE,Namibian Stock Exchange
CPL,Plus Market Group - Chi-X
CPR,Prague SE - Chi-X
CWS,Warsaw SE - Chi-X
CST,Stockholm SE - Chi-X
CAT,Athens SE - Chi-X
BSW,Beijing Swap Centres
BAT,BATS ECN - RDFD
OML,OMLX:London Securities & Derivatives Exchange
PRA,Prague Stock Exchange
CDN,Canadian over the counter Echange
TMO,Tjumen Moscow Oil Exchange
BSC,Bashkirian Spec.Exchange
RCR,Russian Commodities and Raw Materials
RUS,Russian Stock Exchange
RIM,Russian Intl.Money and Stock Exchange
MCS,Moscow Central Stock Exchange
MOS,Moscow Commodity Exchange
SPS,St.Petersburg Stock Exchange
STP,St.Petersburg Commodity Exchange
SAR,Saratov Stock Exchange
NIZ,Nizhegorodskaya Stock Exchange
NCS,North Caucasian Stock Exchange
SUE,South Urals Stock Exchange
UKR,Ukraine Commodity Exchange
EKA,Ekaterinburg Stock Exchange
SIB,Siberian Stock Exchange
WSS,West Siberian Stock Exchange
VLA,Vladivostok Stock Exchange
ISI,International Sec.Inst.
BCE,Budapest Commodities Exchange
CFE,China Commodity Futures Exchange Inc.of Hainan
SUC,Suzhou Commodities Exchange
CUC,Changchun United Commodity Exchange
CLM,CLIMEX
SYC,Shenyang Commodity Exchange
CUF,Chengdu United Futures Exchange
NET,Beijing National Electronic Trading
MAE,Mercado Abierto Electronico
CYS,Cyprus Stock Exchange
BES,Beirut Secondary Markets
BBF,Brazilian Futures Exchange
LMA,Bolsa Valores de Lima Peru
PP ,Private Placements
MED,Bolsa de Medellin
QTO,Bolsa de Quito
GYQ,Bolsa de Guayaquil
OSE,Occidente SE
MRC,Maracaibo Stock Exchange
BEV,Electronic Stock Exchange of Venezuela
MTV,Bolsa de Montevideo
NFM,NanFang Non-ferrous Metal Exchange
ANT,Antwerp Stock Exchange
BAS,Buenos Aires Mercado de Valores Rueda Continua (OTC)
RCN,Buenos Aires Mercado de Valores (consolidated)
GTQ,Bolsa de Valores de Guatemala
OTC,Over the Counter Markets
TUF,Tianjin United Futures Exchange
NSI,National Stock Exchange of India
OTI,OTC Exchange of India
VAL,Valencia Stock Exchange
tst,Test
CQC,Chongqing Commodities Exchange
BOB,Bratislava Options Exchange
BRA,Bratislava Stock Exchange
BLG,Bulgarian Stock Exchange
BUH,Bucharest Stock Exchange
KAB,Kabu.com Securities Co Ltd
ZAG,Zagreb Stock Exchange
MME,Mdex Non-Equity Financial Market
BIL,Bilbao Stock Exchange
SWX,Swiss Exchange (Elektronische Boersen Schwiez)
FCM,Futuros de Citricos y Mercaderias De Valencia
BDP,Bolsa de Derivados do Porto
FDI,Fondos de Inversion Espanoles
BDC,The Thai Bond Market Association
BDB,Beirut Stock Exchange
LJU,Ljubljana Stock Exchange
MCX,Micex
CCF,Chicago Climate Futures Exchange
WCE,Warsaw Commodity Exchange
LJC,Ljubljana Commodity Exchange
SUB,Indonesia Stock Exchange (formerly Surabaya SE)
BCC,Mercado A Termino de Buenos Aires S.A (formerly Buenos Aires Cereal Market)
LAH,Lahore Stock Exchange
CHT,Chittagong Stock Exchange
F4K,FTSE4Good UK 50 ICW
DSE,Dhaka Stock Exchange
MNP,Monep
LNM,Le Nouveau Marche (EURO NM)
TPT,Tradepoint Exchange
GEM,Growth and Emerging Markets - Chicago Mercantile Exchange
RUO,Russian OTC Exchange
IGE,Istanbul Gold Exchange
KEX,Kansai Commodities Exchange
NGE,Nagoya Grain Exchange
F4S,FTSE4Good US 100 ICW
F4I,FTSE4Good Global 100 ICW
TDC,Toyohashi Dried Cocoon Exchange
IZC,Izmir Commodity Exchange
JSN,FTSE/JSE EOD CORE INDICES CONSTITUENT & TRACKER
EAS,European Association of Securities Dealers Automated Quotations (EASDAQ)
TIR,Tirana Stock Exchange
ELX,Finnish Electricity Exchange
ICX,Iceland Stock Exchange
HKO,Hong Kong Stock Exchange Options
CCX,Central Japan Commodity Exchange
WPE,Winnipeg
AIF,Association de Intermediarios de Activos Financieros
RIX,Riga Stock Exchange
VLX,Vilnius Stock Exchange
TLX,Joint Baltic Markets
SNC,SINAC
GSE,Ghana Stock Exchange
NCE,North Cyprus Exchange
BZA,Bond Exchange of South Africa
KOE,Korea Exchange - KOSDAQ
ASG,Agrarian Stock Exchange of Guatemala
SMA,Rio de Janeiro OTC
DIN,Dubai International Financial Exchange Non-Members Level 1
BFO,Buenos Aires Futures and Options Exchange (Argentina)
MFE,Mexico Futures and Options Exchange
ROS,Rosario Stock Exchange (Argentina)
DIM,Dubai International Financial Exchange Members Level 1
DPP,Direct Participation Program - NASDAQ
AEX,Amsterdam Exchanges
TWO,GreTai Securities Market
NPX,Nordpool Power Exchange
PUX,PULPEX Exchange
SPC,Saint Petersburg Currency Exchange
AVK,AVK Brokerage St Petersburg
NEO,Norwegian Electricity OTC
OME,Osaka Mercantile Exchange
TIM,Taiwan Futures Exchange
IBS,IBIS Interbank information system
DJI,Dow Jones Index
NZI,New Zealand Interest Rate Indices
FMF,French Mutual Funds
LUS,Lusaka Stock Exchange
RSQ,RASDAQ
CT1,Ceto OTC Regulated Market
SSU,Sisinau SE (Moldova)
MSE,Moscow SE
DI2,Dubai International Financial Exchange Members Level 2
DN2,Dubai International Financial Exchange Non-Members Level 2
OTK,Kazakhstan OTC Market
WTB,Warenterminboerse Hannover (Commodity Exchange Hannover/WTB)
STX,STOXX Ltd.
ENM,(EURO NM)
ANM,AMSTERDAM - Nieuwe Markt NMAX (EURO NM)
BNM,BRUSSELS - EURO NM Belgium (EURO NM)
FNM,FRANKFURT - Neuer Markt (EURO NM)
RUX,Russian Exchange
FST,FT-SE Trader
EUX,EUREX
CFF,Cantor Financial Futures Exchange
SAU,Saudi Arabian Stock Exchange
SPF,SPOIF
BFE,Baltic Full Service (was Baltic Stock Exchange)
KAZ,Kazakhstan Stock Exchange
CIE,Channel Islands Stock Exchange
YCE,Yokohama Commodity Exchange
CMM,Commodity & Monetary Exchange of Malaysia
APX,Amsterdam Power Exchange
MDE,Mexican Derivatives Exchange Futures Service
KFE,Korea Exchange - KOFEX
BEL,Belgrade Stock Exchange
RMS,RM System (Czech Republic)
BXS,Brussels Exchanges
BKG,Bank of Greece
MDQ,Malaysian Exch of Securities Dealing (MESDAQ)
EWX,European Warrant Exchange (EUWAX)
DBX,Dubai Financial Market
TNL,Romanian Equities traded but not listed.
ADE,ATHENS DERIVATIVES EXCHANGE
FFE,Fukuoka Futures Exchange
PNK,US 'Other OTC'(Pink Sheets)
MSI,Morgan Stanley Capital International.
LID,Liffe delayed 15min
IBK,Indian Government Benchmarks
DSM,Doha Securities Market
TOS,Tokyo Stock Exchange Trading Network System
WBT,Warsaw Board Of Trade
ISO,International Securities Exchange
UVR,Unidad de Valor Real Constante
BNC,Bank Negara Malaysia
MLS,Malawi Stock Exchange
NAJ,Nasdaq - Japan
LAT,LatinoAmerican Market in Spain
CVE,TSX Venture Exchange (formerly known as Canadian Ventures Exchange)
EMT,EuroMOT
#KR,Korean OTC Bonds
HSI,HSI Services Limited
CAE,Computer Assisted Execution (US)
#PH,Philippines Non-exchange FI update
MPL,Standard & Poor's Micropal SA
ABD,Abu Dhabi Securities Market
ARC,NYSE Arca (for ArcaBook Feed)
ISL,The Island ECN Inc
MNM,Madrid New Market
EEX,European Energy Exchange
LPX,Leipzig Power Exchange
CMF,Canadian Mutual Fund Exchange
PFT,PFTS Securities Trading System
ALG,Algiers Stock Exchange
T0$,Monitor Tokyo Rates
PWX,UK Power Exchange
NQB,NQB US Pink Sheet Quotation
LIP,Lipper
NGM,Nordic Growth Market
MTE,MTS Euro
MTA,MTS Amsterdam
